Тип отзыва;Отзыв;Типы проблем
0;"ОЧИСТИТЬ ДУБЛИ, ОРИГИНАЛЬНЫЙ НЕ ВЫДЕЛЯЛА

УВАЖАЕМОЕ РУКОВОДСТВО РЕСТОРАНА РАМШТЕКС!
Еще будучи подростком я посещал ваше заведение, сейчас мне 28 лет и времени на готовку катастрофически не хватает, поэтому я 6 дней в неделю либо сам прихожу, либо заказываю еду онлайн через чибис и всегда только у вас. Так же я регулярно оставляю вашему чудесному заведению хорошие и отличные отзывы. За все время нашей с вами дружбы, куриные оладьи это лучшее, что вы готовили. Идеальный баланс БЖУ, никаких жирных ""шапок"" или кляра. ПОЖАЛУЙСТА, прислушайтесь к своему давнему клиенту и введите куриные оладья на постоянной основе. У вас чудесные отзывчивые сотрудники и я очень надеюсь, что вы тоже замечательные люди и не оставите Петю Кукушкина голодным.";Спам
0;"УВАЖАЕМОЕ РУКОВОДСТВО РЕСТОРАНА РАМШТЕКС!
Еще будучи подростком я посещал ваше заведение, сейчас мне 28 лет и времени на готовку катастрофически не хватает, поэтому я 6 дней в неделю либо сам прихожу, либо заказываю еду онлайн через чибис и всегда только у вас. Так же я регулярно оставляю вашему чудесному заведению хорошие и отличные отзывы. За все время нашей с вами дружбы, куриные оладьи это лучшее, что вы готовили. Идеальный баланс БЖУ, никаких жирных ""шапок"" или кляра. ПОЖАЛУЙСТА, прислушайтесь к своему давнему клиенту и введите куриные оладья на постоянной основе. У вас чудесные отзывчивые сотрудники и я очень надеюсь, что вы тоже замечательные люди и не оставите Петю Кукушкина голодным.";Спам
0;"УВАЖАЕМОЕ РУКОВОДСТВО РЕСТОРАНА РАМШТЕКС!
Еще будучи подростком я посещал ваше заведение, сейчас мне 28 лет и времени на готовку катастрофически не хватает, поэтому я 6 дней в неделю либо сам прихожу, либо заказываю еду онлайн через чибис и всегда только у вас. Так же я регулярно оставляю вашему чудесному заведению хорошие и отличные отзывы. За все время нашей с вами дружбы, куриные оладьи это лучшее, что вы готовили. Идеальный баланс БЖУ, никаких жирных ""шапок"" или кляра. ПОЖАЛУЙСТА, прислушайтесь к своему давнему клиенту и введите куриные оладья на постоянной основе. У вас чудесные отзывчивые сотрудники и я очень надеюсь, что вы тоже замечательные люди и не оставите Петю Кукушкина голодным.";Спам
0;"УВАЖАЕМОЕ РУКОВОДСТВО РЕСТОРАНА РАМШТЕКС!
Еще будучи подростком я посещал ваше заведение, сейчас мне 28 лет и времени на готовку катастрофически не хватает, поэтому я 6 дней в неделю либо сам прихожу, либо заказываю еду онлайн через чибис и всегда только у вас.Так же я регулярно оставляю вашему чудесному заведению хорошие и отличные отзывы. За все время нашей с вами дружбы, куриные оладьи это лучшее, что вы готовили. Идеальный баланс БЖУ, никаких жирных ""шапок"" или кляра. ПОЖАЛУЙСТА, прислушайтесь к своему давнему клиенту и введите куриные оладья на постоянной основе. У вас чудесные отзывчивые сотрудники и я очень надеюсь, что вы тоже замечательные люди и не оставите Петю Кукушкина голодным.";Спам
0;чипи чипи чапа чапа руби руби;Спам
1;Аллалатаоаовттвэвж овлалвьаь;Спам
0;6пп6п6п7п7р шиши8р8ощто щ шрщр8р8о щтщи8ощрщтщощощошрмн9аяшщчес зсра9е9на9нсгппг;Спам
0;Аллуш ашпшпл швшаоао анашой оалалла швшаоао;Спам
0;Волков кладут Аллаху деде же жужжу лалаьаллададе;Спам
0;орлдд олдл  отмал ти шно ну вот;Спам
0;Ушшуовтвшвшврвгв угашала клала к клала к к аашалушущшу;Спам
0;😊🙂‍↕️😇🙂😎😎😂😎😂🤣🥲🥸😘🤣🤣😄🙂‍↔️🙂‍↔️😒🥲🤣пазаязсзяж. жмжсдмжсдмсж джсдмжсдсж ж;Спам
0;ащададададажажада.найк проооо;Спам
0;клоктеьуь шалкькттеиета аллкта ат;Спам
0;Лягушка Галат а дата Даша латте бала;Спам
0;Оататв ллва. Валвь втвлвда;Спам
0;Я хочу купить что-нибудь для день тебя может я хочу в гости к тебе хочу тебе подарить тебе на день рождения подарок;Спам
0;я хочу пиццу я хочу пиццу я хочу пиццу;Спам
0;врчдрлчрдвгюслпслчл пап оад;Спам
0;Кельт сгорит от. Роль. Рекорд;Спам
0;лмао лиги о г много г Н Георгий г о;Спам
0;"Пластмассовый мир победил
Макет оказался сильней
Последний кораблик остыл
Последний фонарик устал
А в горле сопят комья воспоминаний";Спам
0;Плюс что баллов на счет в чибисс;Спам
0;по поводу оплаты за товар и не только в понедельник я буду в Москве и Московской области камеры и не только в понедельник я буду в Москве и;Спам
0;Привет сосед привет как ты что делаешь что делаешь что н;Спам
0;Привет я на тебя подписана пожалуйста я подписано и;Спам
0;респект сигма момент плюс вайб ты сделал мой день урыв этого кринжика 52 тебе от всех наших;Спам
0;тататаоалкллела пьлалалелплаллаао кттатаоата;Спам
0;"тктк воовтвлу втвотвт рнрил
ррггрпи рлори";Спам
0;Цпифатафифа афиафитцеоеутпцтцпи;Спам
0;че г торг рода по пол ООО под нож из;Спам
0;1 2345678901028464783928_7474;Спам
0;"Всем привет🖖

Всем привет🖖

Всем привет🖖";Спам
0;Код. Анодом. Лагерь поплелись мало ирл;Спам
0;"крутое тату на руке было ;з";Спам
0;Ну и и в в и и а а и и в в о в в о;Спам
0;ну что там как там дела как настроение у вас там что нового у;Спам
0;Оаоалашр Баранов злжььээл сыпавшую;Спам
0;окатагоа оатагатвшвгга оаосгаткгаьалв оптсгаткгата;Спам
0;Пишу исключительно ради баллов;Спам
0;Пишу ради баллов исключительно;Спам
0;Привет я на тебя подписан я на твой тик токи я на твой профиль подписан на тебя и у тебя в друзьях есть я тебе дам твой аккаунт в лайки я тебе скину;Спам
0;Сыном бока. Полов сослало паладина;Спам
0;Тататв. Аталтвьа лвдьвтвлоата ллв в ч;Спам
0;Шадада аддаба алалвтат в. Авлад;Спам
0;Everything is okay bla bla bla;Спам
0;"vuuvuvhv hcxhysdhj gvhvjb
gxtyc, buvhctc, uvyct, ubvy t";Спам
0;Ащдалаталдыжв витаовтабдаллаьатоаоовлулгкок;Спам
0;заказ на сайте не нашел в интернете и не только в понедельник в первой половине дня в неделю назад я уже не первый год и рождество 6;Спам
0;минимум 25 символов на комментарий к заказу.;Спам
0;минимум 25 символов на комментарий к заказу.;Спам
0;минимум 25 символов на комментарий к заказу.;Спам
0;Ну и хорошо я тебя очень жду ты очень;Спам
0;ну норм, чо бы и нет, а так норм да, очень хорошо что ты не прав но я не могу найти в интернете и не хочет поднимать и не хочет поднимать вопрос кто блин я уже в этом случае не предоставления документов на визу в США и других интересных вещах от своих предшественников и не хочет поднимать не было бы здорово встретиться и пообщаться на эту сумму и номер телефона для оперативной связи в Скайпе и не умереть от своих мух они не могут найти применение в медицине в частности в этом случае я буду делать мега ржач и как оно будет готово в понедельник в первой половине дня;Спам
0;Ну что там как там дела как настроение у вас там что нового у тебя что;Спам
0;колбаска пипс пиписька колбаска;Спам
0;Ну что что я я тебе тебе это это ты ты это;Спам
0;ооллл смро,апрооль.ррлллль.ллоот,ппрооол.;Спам
0;вов а врвлутв твдц ввтыллцж ввтыллц вволцлц вовшуцл ввошцлциввтоцшц в твововлв;Спам
0;минимум двадцать пять символов;Спам
0;мррьорппит  еппиоррпам пп;Спам
0;Ну что там как там дела как настроение у вас там что нового у;Спам
0;Ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у тебя всё в жизни нормально у вас всё как там как там как;Спам
0;ррпкерраука ппнооракк ррпп;Спам
0;Спасибо за поздравления и за что ты не мужчина а;Спам
0;Таталладвщв д д дмд дала. В в. В втвт т;Спам
0;у.щашат,лшволалалал аллаа вджвю;Спам
0;апноьт п ирольеьп  поао п п пььпьпь;Спам
0;ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там нового что там как у тебя как здоровье;Спам
0;нщсщрслежосднмжгь милая сильно. бюипч.  по;Спам
0;овалов далее латал вовлекая влажные;Спам
0;получается нужен отзыв на двадцать пять символов?;Спам
0;Ты же мне сказал то я не буду тебе писать я не знаю почему так ты меня не понимаешь ты меня просто пойми меня я;Спам
0;Уму ум а кмумусцму в у у у. Уму сум у Умки у Умки;Спам
0;131FQAF ASDFASDF ASFA FAS;Спам
0;131FQAF ASDFASDF ASFA FAS;Спам
0;131FQAF ASDFASDF ASFA FAS;Спам
0;131FQAF ASDFASDF ASFA FAS;Спам
0;131FQAF ASDFASDF ASFA FAS;Спам
0;Ахахахахахаах её удалил да сьвдвдвсьу с адчжвидвбс абададсьаьсклсьусдчдвжвд;Спам
0;Иоанновны тролли ого ого ого рот от;Спам
0;Ну и и в в и и а в о о а а в в о да да;Спам
0;ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас;Спам
0;Овладев помог ш Ала а автовладельцев стала;Спам
0;Очоляыт чоялягытчтлыы чтлыыт чтчлвлыддылвьв;Спам
0;Пушка гонка старт монстр пони;Спам
0;Ствдаоиадс вовзтвоа вовзатоашадв вдьвовшщва взволящвта;Спам
0;Штирлиц вытащил из сейфа записку Мюллера. Мюллеру было очень больно и он сильно ругался.  — Штирлиц, вы еврей? — спросил Мюллер. — Я русский, — с достоинством сказал Штирлиц. — А я немецкий, — усмехнулся Мюллер.;Спам
0;Я хочу купить кольцо для кольца из ниток но не знаю;Спам
0;chandler f the world world and and he he is will be not the only man man 🧍‍♂️ in this universe universe who will will have be the a;Спам
0;Ататтата аталалкде. Ндебебе а;Спам
0;"Гаьладс абсида
Вжвюсюыжч
Аза сом а.";Спам
0;Заплату азаьатасда вставал влопалась;Спам
0;Зыжсдмлящыовьуб !₽алалаладададада;Спам
0;Лишрлидидидидид.  Лидид.  Дишил лишишмш. Ллмлмш.;Спам
0;но я не могу найти в интернете и не только в понедельник тренировка в этом году в связи с этим делать тикитоки в этом году в связи с этим делать тикитоки в этом;Спам
0;норм пакет ещё дали ! ри ььл. тм тт;Спам
0;Ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у;Спам
0;Привет сосед два на четыре держи шире;Спам
0;Прогиавя дщт уымодд капаы нрр ниллоыыз;Спам
0;Спасите о том числе в рамках проекта и все равно;Спам
0;Твовлчьчб с с с с. С с с с с с с. М с м м м и;Спам
0;Типа иттмаррнопам ррасольмппо;Спам
0;Тсоа в втлв в влаь в втв влвлвтчтал;Спам
0;аладатклатала оаткткла  латалкт ала  лаьетклаь;Спам
0;ататвьуту аттатабабабаьааь;Спам
0;вовово вовлвов вовлвшвлл пппапа;Спам
0;Вшвтыооыыт ячлшыыты в вовлытв в воя;Спам
0;Йоу йоу йоу круто йоу йоу йоу дайте баллы йоу йоу йоу;Спам
0;Милльмаа ршгаласшпшп рааоттт;Спам
0;Можгаопоосомопослплрлрлр лор одр;Спам
0;Рита ты что там не отвечаешь что ты;Спам
0;Том  ваощем 2ю жизнь дает;Спам
0;Nash’s. So sns s bs s x and.  Sssisi;Спам
0;Ахахажадсттчь. Чточтвтвдч. Чллвивтвтвт;Спам
0;Вацок делает тему ЖИЭС братан Фарта;Спам
0;втвооврврв вовоаоовововрврв;Спам
0;Даром получили, даром давайте;Спам
0;м рсмгаовдагпгалядсрнПхпгох;Спам
0;он сказал что у меня не было в школе и я его попросила чтоб ты угугугцггцгц;Спам
0;талк ешк ещпе пьпщпщшпдп пщпщпщпп щппщп пщзкк кжжж;Спам
0;Да да да да угу ага баллы мне;Спам
0;Дайте баллы дайте баллы дайте баллы дайте баллы дайте баллы дайте баллы;Спам
0;лвьаьвьмшмгвдуьсо нмдаланзчнжчедчдмрчгэажрвгэвнжвзн;Спам
0;лклклклькькьаь таькькьькькькь еьье;Спам
0;Нр ар он и не будет с нами играть и мы не сможем его забрать в итоге мы будем вместе с;Спам
0;ну что там как там дела как настроение у вас там что нового у тебя что там;Спам
0;Ну что там как там дела как настроение у вас там что нового у тебя что там нового;Спам
0;Ну что там там как как там там как как;Спам
0;Оочтстч очовооч львлчьч ч т;Спам
0;ради баллов и не жалко отзыв оставить;Спам
0;had d chen’s. d xhf was a the same first year in i think but i think he is got better a lot in;Спам
0;ащащпл влаоа  осталось по ашпт поставить;Спам
0;Да да др зрмзрсзомзрмзрсзрсзохмгхгмну на;Спам
0;Отта лслос с влдачьа в лчлч;Спам
0;Очолвовбалашаькостоктв в кота;Спам
0;Р щнсзесзнсзнсзнсзнса нсщесщечзечзрс;Спам
0;"gvbbbcghgvhh
tdgug tuggf dgg";Спам
0;@Kovis228:Eu Sou U Funky Bear (Slowed)774312Yrok12212000Yrok_21122000;Спам
0;ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у;Спам
0;Ну что что я я тебе тебе это это ты ты это;Спам
0;пгищн щр щриихш оз ощ оз згизо зо зо зо жо оэ эл;Спам
0;Ратруьок рутвр путур аи ра ра ру пу;Спам
0;Ао0фщвт хцт зыов 0щойвйцхщ ойхвщ ох8ейвр 08йоу;Спам
0;ещкере, ещкере, ещкере, ещкере;Спам
0;лволуоулувлоццооцрц втвлй hshsksbswj;Спам
0;Мяу мяу мяту мяу мяу мяу мяу;Спам
0;Напиши про н голо опа джипе  рроеарршгаамоф;Спам
0;Привет сосед игра привет соседу привет;Спам
0;Я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в н;Спам
0;Coal. NxkN Jzoxkx Jk coal’s banana;Спам
0;Pro job ioczbozoz bc I oz zixox. ZJziz;Спам
0;Арреепм саами Аарон парома;Спам
0;Завтра солнце взойдёт на востоке и будут мяса и крови потоки.;Спам
0;иупупутетп е е ктк к к курр;Спам
0;Не у яему придраться даде при всем желании,  но такого желания;Спам
0;Ну тут без изменений. меня шатает та скорость и стоимость. да поездка на такси дороже и дольше,чем это чудо;Спам
0;олапиттлдб нд сн оо супер;Спам
0;Она та. Ала. А стал . адвдадтв;Спам
0;очень хорошо спасибо большое за поздравления и за поздравления и за поздравления и вас с новым годом желаю вам здоровья счастья и всего;Спам
0;Содотаожажовгшк с до Анна Шагала;Спам
0;Спасти по ввлутытытвгвгвггг;Спам
0;Щомшнаеигиоио Гир гр Гриша да да да да не;Спам
0;The only way I could do that was if you had to do;Спам
0;Аовладдадададададвдвдалалалалала дададаладулу далалала;Спам
0;Во-во аовлу утвлв вовдц вицоцдту уоулц втулуье даьк улулу а водудукд у ут;Спам
0;Ну и как как у у вас вас там там как как у у так так вот вот это это да да я я не не;Спам
0;Оови вла в лв влв в  втвтвттваьа ладьв;Спам
0;респект сигма момент плюс вайб ты сделал мой день урыв этого кринжика 52 тебе от всех наших;Спам
0;Ют жовдрчдрвдрчщрчжосжрчдичдрчщрчдрс;Спам
0;Jdjsjjd hahahaha shsnnsjxndjd;Спам
0;The only reason I would want to be in the same situation as you was that I’m going;Спам
0;в асасин криде три когда убиваешь животное есть ощвучка няма;Спам
0;Угоуоарвшвбвтововтв Ала е п п. Па а а. А а влдвшалоп;Спам
0;класс а я уже в школу пошла а что у меня там есть что ли или нет;Спам
0;О тот о то толошлдж лллмп лол лд;Спам
0;ах до по до по до по до по до по ГП по ГП по р по;Спам
0;как ты там как вам надо есть ли смысл в том то ли дело то есть я тебя люблю и не хочу с тобой общаться и мы не будем женится на тебя сильно тебя не смогу;Спам
0;Арарат а ататк п кое е е еое е е е е е е пр;Спам
0;все 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍;Спам
0;Ахазалаивдчтаивда состатвббьстатадвбатптадабабьа;Спам
0;ну что там как там дела как настроение у вас там что нового у тебя;Спам
0;Овотав лататала. Далаа а слль. Лол;Спам
0;оопандль магщьтр мвыщжбтии ммржь.;Спам
0;аоалаладбургер  Бэнч бэнч;Спам
0;атладвдмьсдадимззпжажжвбмб сбабабабадажадажа;Спам
0;Здравствуйте, супер классный фильм про телефон разрядился;Спам
0;лол прикольно вышло ха-ха;Спам
0;нормально хорошо прикольно норм;Спам
0;Ну что там как дела у вас что нового у нас всё хорошо мы уже дома;Спам
0;Ну что там как там дела как настроение у;Спам
0;Прод. Днём пагод шнеки мель. Томи;Спам
0;Топ топ топ топ топ топ топ топ топ  да;Спам
0;Z V GOIDA Z V GOIDA Z V GOIDA;Спам
0;АлфплПбые пф фпье ефбеыбароемнату цсвкауваааапрр;Спам
0;Лиман. Сол сдьмсдж чедьмчащз.;Спам
0;Ну что там как там у вас дела?;Спам
0;Про мпррооооролл.  Тиритом мммппппмм ми иииор;Спам
0;рвоат оаовтто вовттчт33уу3к;Спам
0;рмпррипросто я в емецке и не;Спам
0;Уолулв улу ушу ышв вда вща аш вд кшы ыы;Спам
0;gdhgcffhhy hdhbcfuhh fdhjbyfgjggg vdhhgffhvfyg gdhcbjffuhhhcdd juffghfdyh;Спам
0;аллаьаьаьал просто бомба, я в Париже;Спам
0;Ваалвшомтвшуоала состтутвллв плвлшсшптае;Спам
0;pfhhd dodod dhjee ejjeje dhjsej;Спам
0;The The Big Lie was the most important story in this series and it was the a good one too but I;Спам
0;Ата к так ктата а атата а атата а аьабкбубаьаталлк;Спам
0;Да дада да да топ  да да ага;Спам
0;мгомлмлмлмлмн и в общем если что то будет;Спам
0;мпаншаоовгов и в этом случае я не могу;Спам
0;они не знают как они живут в Москве;Спам
0;опрдромсиомитимииро.  спасибо;Спам
0;Орильььььътимдмммьь мммм  ьбббб;Спам
0;Пишу отзыв чтобы получить баллы;Спам
0;сод,тдщи тд щомоззаказтопчик аоаоаопл;Спам
0;специально не 🚱 отвечаешь 😡😡 мне кажется это все что мне надо 😂;Спам
0;Тстаьсьяьоао лалалоаоаоал лалалоаоаоал лалалоаоаоал во лалалоаоаоал;Спам
0;Ьащашатв Агату Звиад шалаша шатаема шатаюсь;Спам
0;"я бы хотел, путешествовать много
с природой сливаясь, лежать на песке 
или придти уже все таки к богу 
не стесняясь дырки в носке 
 вечерами смотреть, 
на тоскливое солнце";Спам
1;Я л7дьгл6лнл5ло5о ооплалаьла;Спам
0;нгрманлианолдшнпсит олоа рора  тш;Спам
0;Нормик бомба пик пуджа на миду (тут оставила первые 2 слова);Спам
0;пролдьтмсавы еуаси ыырлгее аа иппо ддпе ччрнеки ыуер юоре яспуу трпн явак яакку реаен ььггг апн неууи длошд а не мсвак ччраа мсвпн торрго мсарн чсаак льое Маре сапре ааег пер торош мспрн юоощ;Спам
0;ракета бомба петарда пушка пушка чики бомбони чиназез (тут тоже оставила);Спам
0;ужас жужужиужу дажазаза вззаазза азах;Спам
0;Mishandle jsjsjsjjd djdjdhdujs dhsjshdh;Спам
0;амвпукепваыпаувпукепук пкер кркеур уцр;Спам
0;Корабли лавировали, лавировали да не выловировали, ведь не веровали в вероятность вылавировать. Вот маловеры: веровали бы — вылавировали бы.;Спам
0;Нан с уважением Сергей отправлено с устройства и безопасной работы в сфере туризма как победить в этом году мы 86;Спам
2;заказ очень понравился ррртттт;Требуется модерация
2;"Просто г****! Есть невозможно было 
Карбонара 0/10. Один лук размеров с палец толщиной. Роллы 2/10. Шаурма отстой.";Требуется модерация
2;всё супер всо отлично алалалалалалал;Требуется модерация
2;заказ приехал вовремя, все аьаллпмлалвьуткопшмшм;Требуется модерация
2;КАРТОШКА ПРОСТО АХУ*+₽+_ТЕЛЬНАЯ , БУДУ ЗАКАЗЫВАТЬ ЕЩЁ НАДЕЮСЬ БУДЕТ ТАКАЯ ЖЕ😍;Требуется модерация
2;Очень вкусный том ям, когда заказала парню, начала замечать странные вещи, он все чаще и чаще начал его заказывать, у него развилась зависимость, похуже героиновой, он до сих пор сидит на нем, не ест ничего больше, даже воду обычную перестал пить;Требуется модерация
2;разочарован!!! не знаю кто виноват, то-ли долгая доставка или повара с администратором принимающим и исполняющими заказ но... сегодня не еда а ДРЯНЬ!!! Картофель фри остыл и превратился в безвкусную массу. пекинка в салате отмякла цыпленок темпура отсырел и т.д. Вы что разучились работать?! если вам не хватает рабочих рук так есть понятие стоп-лист нет возможности не берите заказы или работайте как положено! вам за это деньги платят?! плохо.;Требуется модерация
2;"Заказываем очень часто так как на кухне ремонт и не начем готовить ! Очень обидно 
Во первых диспетчер хамло
Специально уточнили два часа ждать или в течении двух! Сказала в течении двух 
В ИТОГЕ привезли через 2ч9мин
Холодная картошка фри, слиплась сухая абсолютно без соуса соба!
К солянке не было сметаны и приборов положили  на 1 человека учитывая ,что просили на двоих! Позор";Требуется модерация
2;Роллы за баллы выглядят куда хуже картинки. В остальном сет вышел сносный, не хорошо и не плохо. За такие деньги, считаю, можно постараться и лучше. Ещё не обратил внимания, что ИП азиат, к сожалению выяснил уже после лицезрения азиата-доставщика. Советую внимательнее относиться к подобным, дабы ненароком не словить отравления;Требуется модерация
2;Сэндвич роллы и темпура роллы отвратительное говно!!!! Супер жирные и невкусные, рыбы нет, один рис и жир!!;Требуется модерация
2;Вкусно как и всегда 12123123;Требуется модерация
2;Вкусное блюдо на каждый обед или с большим;Требуется модерация
2;Вкусное блюдо на каждый обед или с большим перерывом называется блюдо или просто;Требуется модерация
2;Вкусное блюдо на каждый обед или с большим перерывом называется блюдо или просто блюдо по мотивам его блюда или же из привычного вкуса или аромата и вкуса и вкуса и вкуса и почему он стоит на кухне или на кухне и что это вкусное и простое блюдо из привычных ингредиентов в конце года или в качестве горячего пищи;Требуется модерация
2;Плотное дерьмище. Соуса нет, васаби нет. Ёбитесь как хотите. Уроды!;Требуется модерация
2;Картошка фри сырая, наггетсы недожаренные, роллы запеченные холодные, Калифорния кислая😡🤬зато деньги не стесняются брать за такое г... Первый заказ. и такое🤬😡;Требуется модерация
2;Роллы полное г.... но!!! Мало того что они не вкусные, так еще и развалились и стали как рисовая каша. Полнейшее дерьмо!!!;Требуется модерация
2;вся еда полное гавно, такое кушать невозможно, я хочу чтобы на ваших поваров упал дрон и разорвал на части их кишки;Требуется модерация
2;все отлично, кроме того что у меня сп*или 2 ролла;Требуется модерация
2;Очень вкусно, соаэажвьвжвбыыьыдыььсадвьаьалалаа;Требуется модерация
2;Спасибо большое я тебя люблю и не понял че;Требуется модерация
2;Долго доставляют ьчбабвбвбвб;Требуется модерация
2;Все очень вкусно, но мы с мужем отравились, с горшка не слазим 🥲;Требуется модерация
2;Роллы вкусные, а вот гоабожоу полное дерьмо. За 700 р это просто отстой!;Требуется модерация
2;в этот раз было ахуенно спасибо;Требуется модерация
2;мьаалпаидиажаавкусно вкусно вкусно;Требуется модерация
2;ОЧЕНЬ КЛАССНООООРРРОООООлабаба;Требуется модерация
2;пиццу спайси без лука парв вапыфыф пвфыываап;Требуется модерация
2;"получили только что заказ.
ПОЧЕМУ В ""ТОМ ЯМЕ С МОРЕПРОДУКТАМИ"" ВСЕГО 1 КРЕВЕТКА ПЛАВАЕТ???? МЫ ЗА ЧТО СЕЙЧАС ЗАПЛАТИЛИ ВООБЩЕ???!!!
Приборы тоже  не привезли хотя их тоже указывали в заказе, ни палочек для роллов, ни ложек для том яма и рамёна. ЭТО ПОЛНЫЙ УЖАС";Требуется модерация
2;"Убедительная просьба , если вы разрезаете пиццу - делайте это адекватно , а не на «отъе&amp;сь» ! Разрезана не пойми как , еще и не до конца . Начинаешь сам резать- разваливается по старым кривым вашим разрезам. Центр разреза каким-то образом вообще вверху пиццы, а не по середине. Кусков не 8 , а по 5 или 7 ! Очень портится эстетика вашей подачи .";Требуется модерация
2;аа аа вала в алатау в лата все круто;Требуется модерация
2;Вкусно полезно прикольно ахуенно;Требуется модерация
2;Хорошие мастера суш готовили эту прелесть,спасибо хехехехехехе;Требуется модерация
2;Могло бы быть и лучше. Дорогие роллы так себе, не вкусные и один рис. Почему ролл за баллы оказался самым вкусным? а за 600 рублей - дерьмо. Это странно;Требуется модерация
2;Просто деньги на ветер, заказали сет, думали насладимся, ага хрен там, состав сета везде во всех роллах икра!!! Вы хотя бы смотрите состав!!!!;Требуется модерация
2;все бы ничего, но на утро после этой пиццы я блевала😊;Требуется модерация
2;"все вкусно , быстро 
4рм3ги3гт4
4ни4ни";Требуется модерация
2;Все соусы пыли разлиты по пакету,в пицце был волос;Требуется модерация
2;"Заказал пиццу и роллы,очень вкусно..Доставили быстро,ожидал вовсе,что будет долго..Курьер был вежлив,немного забавный..Доволен заказом,изьянов не увидел &lt;3";Требуется модерация
2;Неплохо щвовщлмолылопршырдврлмдвилмилв;Требуется модерация
2;отравились с мужем после вашей еды;Требуется модерация
2;оцьцыьты в ыспасибо большое овлвьвтв;Требуется модерация
2;очень вкусно и быстро... %%%%%;Требуется модерация
2;очень долго, оператор в течении час расеазывал что курьер в пути, и это пос окончания сроков доставки, ждать будете долго;Требуется модерация
2;понравилось понравилось двадцать пять символов слишком много;Требуется модерация
2;роллы с травой больше не готовьте это убожество ебаное;Требуется модерация
2;Самая лучшая пицца от меня к вам поступила кешбек;Требуется модерация
2;спасибо большое за поздравления и вас с новым счастьем и вашей семью всех земных благ и всего хорошего и здоровья и всех земных сил вам всем здоровья счастья благополучия вам всем е не уукг;Требуется модерация
2;Супер пупер фендербобс траливали;Требуется модерация
2;"Это были вкуснейшие суши за последний год, которые мы ели! &lt;3";Требуется модерация
2;Говно такое привезли, ужас;Требуется модерация
2;Дерьмо, шапка роллов воняет, роллы разваливаются;Требуется модерация
2;видать поворот не проснулся, такого г... ещё  не заказывали;Требуется модерация
2;вкуса никакого,холодные,написано ,что запеченные,в итоге 1сет запечённый,по размеру роллы разные,один меньше,больше другого.Ужасныйе Сеты.Обычно с большим аппетитом съедаем,тут же ни осилили даже попробовать все.пусть даже и цена не велика за этот сет,но цена этому сету максимум 500р,бюджетный для студента,может быть и пойдет,но даже для студента он покажется бедным и не вкусным.На фото смотрится отлично,вкусно.в реале же все плачевно ни так.Не берите народ,просто Г...;Требуется модерация
2;"Спасибо за заказ!
Очень вкусно покушали и следующие 10 часов провели, бегая каждые 15 минут в туалет, чтобы проблеваться вашими роллами 🤞🙈💪😜";Требуется модерация
