Отзыв;Тип отзыва
мдрсдомодррррроммоомиорпрорпр. Ненорн;спам
Здравствуйте. Заказ не получила так как внезапно стало плохо и увезли на скорой в больницу.;негативный
Вкус ужасный. Весь сет не понравился (Black Gold вроде), только гунканы нормальные. Пицца тоже ужаснейшая. Не смогла съесть ничего, кроме гунканов. Деньги на ветер;негативный
Опоздали на 2 часа. Еда была уже вся холодная;негативный
Все роллы перевернулись , размазались , разной формы . Ужас просто;негативный
Отличные коробочки, прям понравилось;негативный
Лала сщбсбсщбвша алвочшьаьмщбсблапр;спам
Пицца вкусная, а вот суши-один рис. Заказывала горячую Филадельфию. Начинки вообще почти нет. Один рис и панировка.;негативный
Это была одна из самых ужасных доставок, водитель не доехал до нашего адреса, отказался ехать под предлогом, что ему негде выехать. Обратилися в пиццерию, чтобы помочь, сказали, что примут меры, но меры не были приняты. Пришлось забирать заказ с другого адреса в холодную погоду и нести его через несколько адресов.;негативный
Вовоовов вовлвллв слчдящытчтч чтятчььялчлв;спам
Не положили один ролл. Обещались вернуть деньги до 21 вечера, но видимо нужно было уточнить какого дня.;негативный
Sksnskamd skmsnsms sksnsmsmdnsmsmsm;спам
все класс, вкуснятина не можу;негативный
Вкусные и оригинальные роллы и суши;спам
Волосы в роллах. Решение проблемы было, у нас одни мужчины и длинных волос ни у кого нет.;негативный
это просто сервис аут. ждём заказ уже третий час. сервис пишет, что ещё 10-15 минут и вы поедите. но через 15 минут мы уходим на концерт. уходим голодные. больше никогда и не при каких обстоятельств с красным драконом не свяжемся. это не дракон, это мёртвая улитка.;негативный
Впервые не порадовали роллы из этого кафе. В целом безвкусные. Видимо наши кафе никак не могут научиться постоянно поддерживать хороший уровень…;негативный
не положили еду к заказу за баллы, даже не извинись за доставленные неудобства. не сразу отвечают на звонки.;негативный
курьер просил оплатить, хотя оплата уже была через сайт. И а итоге вместо пицц принёс в коробках мятые комочки, которые стали наполовину выглядеть несъедобными. Сервис обратился к продавцу заказа, чтобы мне позвонили, но звонка не произошло.;позитивный
Заказ был оформлен в 11:43, в итоге больше через два часа мы ничего не дождались, на звонки администратор не отвечала, потом конечно перезвонила после нашего отказа, начала хамить! Что хочу сказать руководству, смените персонал. Желание заказывать еще что-то исчезло!;негативный
ролл только с мазиком И роллы привезли не все;негативный
Супы холодные. Пицца остывшая полностью, на вкус как вчерашняя. Сыр за баллы вообще не положили. Видимо считают что за баллы и ладно. .;негативный
Хуйня полная новнище пжпзпшмоьабадкпж;спам
Лыововлал аоаллаша влалалла;спам
Вкусный супчик, спасибо ресторану за оперативную доставку);позитивный
супер еда супер вкусно быстро рекомендую;спам
Заказ не привезли . А сидели ждали его;негативный
отличный заказ трал лалала бла бла бла;спам
Заказали пиццу с креветкой ,сплошной обман ,привезли с курицей какой то ,даже в меню такой пиццы нет,взяли деньги за пиццу с креветками -660₽.Буду обращаться в инстанции.;негативный
В мясную тарелку не положили сервелат и хрен. Но очень вкусно все.;позитивный
Заказали два бургера с курицей,положили с говядиной,которую я не ем😵‍💫;негативный
очень долгая доставка. при звонке в кафе, администратор хихикала, со словами что рис закончился.;негативный
Вкусные, свежие, упакованы надёжно, привезли вовремя, рекомендую 👍;позитивный
"Что оценивать, если вы не принимаете заказ, но спрашиваете отзыв? Подскажите, каков бы был ваш ""отзыв""?....";позитивный
Я не знаю что и как ты там делаешь и что мне делать с этим человеком я не хочу 6666666;спам
два часа ждал заказ п***ц;негативный
Хорошо тогда я не знаю как это делать и что мне нужно делать в этом случае если я не буду пишите в интернете и не;спам
Еда вкусная , только не положили в набор соевый соус и имбирь. Заказ доставили быстро, не смотря на то , что была суббота. Спасибо;позитивный
Роллы очень понравились. Курьер приехал быстро, но запечёные роллы слегка подостыли, хотя всё равно были очень даже в порядке.;позитивный
качество отличное вечер да вкусно хорошо приятно голова рука человек;спам
Проснищтд очечеснищтдтдилид ж;спам
двадцать пять символов молодец какая молодец;спам
все было заебись четко, пацаны вообще ребята;негативный
Пишу отзыв чтобы получить баллы;спам
ш ка лалалалабабаьвоваллала;спам
Вместо риса положили лапшу, которая ещё и не вкусная оказалась((;негативный
заказала 17.06 сегодня, время 19.32 заказа до сих пор нет. деньги сняли. как вернуть?;негативный
заказала три соуса,привезли три салата;негативный
Каждый раз заказываю у вас, привозят быстро, все вкусно и недорого;позитивный
Булочка у бургера была настолько старая, что она просто крошилась, абсолютно не имела вкуса. Есть было невозможно. половина крыльев хорошо приготовлены, половина залежалась и была сильно пережарена.;негативный
Спасибо большое и за приглашение на собеседование с вами по поводу работы и по поводу работы и по поводу работы и по поводу работы и по;спам
"Заказывали вечером пятницы, поэтому можно объяснить доставку в 2,5 часа. 
НО в цезаре была одна помидорка, курицы нет, лапша ледяная, картошка размякшая и без соуса, хотя в меню написано, что подаётся с соусом. 
Мы очень часто тут заказываем, но в последнее время тут просто отвратительно готовят. Вечер испортили, спасибо 🤡";негативный
Ни палочек, ни имбиря, ни соуса!!! суши сами не плохие на вкус.;негативный
Ролл за баллы почему-то оказался платным, везли дольше, чем сказали по телефону. Роллы все разваливались, невозможно есть, только ложкой. Боль, печаль и сплошное разочарование;негативный
не положили в комбо набор колу,картошку фри и картофель по деревенски,только два соуса к ним;негативный
Очень долго везли заказ. 3 часа. Я сделала тут заказ, а мне перезвонили его подтвердить только через 40 минут. Сказали доставку ждать еще 2-2,5 часа.;негативный
# Данный пользователь находится в федеральном розыске Российской Федерации — [Подробнее](https:;негативный
Не положили приборы. Не было васаби, имбиря и соевого соуса, удон переселолен, вареники холодные, безвкусные, слипшиеся. Ужин испорчен, зря потрачены деньги;негативный
Заказ доставили очень быстро. В этом плюс , так как заказывали ночью. Пицца очень вкусная, пикантная. Роллы вкусные ничего не разваливается. Соусы в комплекте тоже в достаточном количестве);негативный
"сухая шаурма
🫡🥹
спать
уруткое";спам
бургер без котлеты пришел, и доставка на 30 мин задерживается и в Цезаре нету креветок;негативный
Не доложили одно блюдо, которое было за баллы;негативный
Второй раз заказываем, и второй раз доставка 0/10 либо админ у вас живет не по земному времени, но обещать 1 час 40 минут, а везти ровно 3 часа это надо «постараться»! К кухне вопросов нет, хотя теплые роллы должны по умолчанию быть в теплых боксах, это можно исправить подогреванием, ладно.;негативный
Долго готовили,рис переваренный,шапки на запечённых ролах кислые,разочарован((;негативный
Ну что там как там дела как настроение у вас там что нового;спам
Как ндрядрчдрчдочдрчдчндгчжсгжгм;спам
Не доложили в заказ напиток, решить вопрос из за кого то морса не могут;негативный
Доставку задержали,привезли всё холодное!;негативный
")::₽&amp;8654:?? Саешьтса fyiihbb";спам
Привезли заказ мой, но чек не мой. В заказе совершенно чужая комплектация, дороже на 1000 рублей!;негативный
овощкл коагкг шщттк гг7уоки лллултлл оплатила оллк лнпущлкк шкшкокококшк Ош кллок;спам
Доставили за 4 часа, хотя заявлено было 1.5 часа. Свинина жестковата, курица мягкая, вкусная. Положили только 1 вилку;негативный
это ужас, в роллах сыра нет, везли 50 минут, а ресторано от нас в 2х км, еда ХОЛОДНАЯ!!!!;негативный
фух ошарашили во-во-во вечером;спам
Прмр на работу и на работу не поеду на работу в понедельник на работу еду домой еду домой еду домой еду домой еду домой еду домой еду;спам
от готов во кг шт ра кеш дом по ли ма АО га по шкеуеуеуеу;спам
Опаншликещддо напш греет Джоне док;спам
"Ооочень долгая доставка. Спасибо только службе поддержки, они все ""разрулили"". Оператор мега суши очень недовольным голосом вещала, что ещё и двух часов не прошло, типа что вы хотите?!.";негативный
Доставка была очень долго, больше 2-х часов. Пока ждала, перехотелось есть. Убрала в холодильник. На следующий день вечером шаурма конечно же вся развалилась. Расстроилась что потратила время и деньги. Хотя доставку обещали через час(;негативный
Все отлично , кушали и смотрели футбол.;позитивный
Попались кости и нитка, рыба как будто обрезки ( кроме Филадельфии);негативный
Очень долгая доставка, задержались на 1,5 часа . Роллы все холодные, половина разваливались, остальные очень жесткие.;негативный
девушка оператор отзвонилась по заказу,сказала что доставка будет в течении полутора часов,прошло два часа я позвонил в доставку,сказали что не видят мой заказ, это как так получается? гости ушли голодные;негативный
Ахуеноооооо просто бомба , спасибо;спам
"ах****о!
нравится у вас еда, загляну еще";спам
Обажаю вашу еду, непременно закажу ещё;спам
Роллы в ужасном состоянии, везли оооочень долго, не брали трубку, все холодное;негативный
Лапша с морепродуктами очень вкусная, но суши это какой то кошмар, как вкус так и вид, возможно это связано с тем, что они за баллы. Этого я уже не узнаю, т.к. заказывать больше не буду.;негативный
не положили соус, за который были заплачены деньги;негативный
оч понравилось.буду рекомендовать;негативный
ну что нет я тебе говорю я тебе говорю я тебе не нужен ты не нужен я не буду тебя любить и ты будешь со мне;спам
Его по о ор Ин. Го по. О. Но.;спам
Лапша хорошая по вкусу, суп не особо понравился, роллы нормальные - но это чисто на наш вкус);негативный
Все вкусно , долго доставляли;позитивный
Доставили с небольшой задержкой, но оператор заранее предупредила, что курьер на смене 1, поэтому никакого дискомфорта не было. Роллы вкусные и сытные;позитивный
Дад и особо мест опыт не д там вот да вам то б лю;спам
по поводу того же года был избран членом;спам
Все очень вкусно быстро и качественно!;позитивный
самая ахуенная пицца в городе;негативный
Перепутали заказ это ладно бывает ничего страшного но вок заказывал с кольмаром и креветкой а прислали с телятиной;негативный
не привезли гавайскую пиццу, 2 раза приезжали и все с грибами;негативный
Обожрался п****ц. Е***ь как вкусно;спам
впервые такое, ждали заказ 2,5 часа, ресторан не отвечал, только после обращения в поддержку чибис они зашевелились. всеприехало холодным, даже горячие роллы (прям холодные, не остывшие). кошмар;негативный
Вкусная и горячая еда,приятный и ненавязчивый сервис,очень понравилось!!!;позитивный
Вместо трёх позиций привезли две, просто солянку не положили в заказ, я в шоке( И нет чтоб на следующий день предложить возмещение какое нибудь, так нет, забирайте солянку, когда она уже нафиг не нужна(;негативный
Тазмьвх. Цз. Фэ. Йз. Цх. Ц;спам
Не принимали заказ и не доставили зашёл на следуйщий день показало что доставили и списали баллы всем спасибо все свободны, заказывал ночью поддержка чибис не работала.;негативный
есть не возможно очень сильно солёноя, по этому 1 звезда, просто выкинули в мусорку,прошу исправить это недоразумение. Очень не приятно;негативный
в описании сет классический была указана Филадельфия классическая принесли больше похожую на лайт, совсем не соответствует фотографиям, пицца была холодная ( единственный плюс пицца вкусная;негативный
кроя пиццы немного подгоревшие, тесто сыроватое, начинка распределена нервыномерно;негативный
Привезли всё холодное, к мясным орешкам прожимал столовые приборы, приборы не положили.;негативный
Аззузащ жвжвжвжв пжжцжужвжв пожужыжаа;спам
"Заказывала Цезарь с курицей
Но во 2 раз попадается не свежая курица в салате…";негативный
ахуенные, вот реально, мне понравились;негативный
Отвратительно, роллы не вкусные, пресные! Такое чувство что кто это делал, не знает что такое соль, рис не вкусный. Внешний вид, такое чувство что их просто били палками!!!Пицца не вкусная сухая, холодная!!!;негативный
Доставка долгая (2 часа), пицца еле тёплая, местами подгоревшая, суши не вкусные, имбирь с какими-то тёмными пятнами, васаби положили как украли.;негативный
шашлык резиновый ,порции сжатые для детей . сервис ужасный. была оплата помечена -картой курьеру, у курьера не работал терминал , сдачи нет. ЕДА УЖАСНАЯ !! ВЕЧЕР ИСПОРЧЕН! ЗА НЕ МАЛЫЕ ДЕНЬГИ!!!;негативный
иа интврвре киеикрн п темкме еие еие еиие еие ие емеие еие е кип ие п ние п.;спам
Yrfgfcfgvfhvghv. Ggyyfc ggfccbb. Ghccb ghhvcvv;спам
очень соленый пирог с рыбой, к сожалению;негативный
Тататчт ьылы в твовьвтч таов тулы лч ч;спам
Почему то по весу картошка фри 140 должна быть, а пришла 90 грамм.Не очень приятно. Постоянно заказываем у вас пицца вкусная ,но то что не до кладовую не приятно.;негативный
Всё очень вкусно спасибо!;позитивный
Очень вкусно,быстро и без нареканий;позитивный
Все вкусно, быстро. Но забыли положить оплаченный спайси соус(;позитивный
Говнище полное!!! Не заказывайте!!!;негативный
Положительные отзывы скорее всего куплены!!! Отрицательные похожи на правду!!! Роллы разваливаются! Служба поддержки никак не реагирует!! НЕ ЗАКАЗЫВАЙТЕ ТУТ НИ В КОЕМ СЛУЧАЕ! СБЕРЕГИТ СВОИ ДЕНЬГИ И НЕРВЫ!!!;негативный
КАРТОШКА ПРОСТО АХУ*+₽+_ТЕЛЬНАЯ , БУДУ ЗАКАЗЫВАТЬ ЕЩЁ НАДЕЮСЬ БУДЕТ ТАКАЯ ЖЕ😍;спам
Сэндвич роллы и темпура роллы отвратительное говно!!!! Супер жирные и невкусные, рыбы нет, один рис и жир!!;негативный
Роллы вкусные, а вот гоабожоу полное дерьмо. За 700 р это просто отстой!;негативный
роллы с травой больше не готовьте это убожество ебаное;спам
Дерьмо, на утро из за рта воняет воняет, пововюренок говненок делал роллы?;негативный
Стремительно катитесь вниз!Это просто издевательство над клиентами. Обратной связи ноль, указали в заказе, чтоб не добавляли икру к роллам (альтернативы без икры им нет), просьба была проигнорирована, хотя очевидно, что примечание было прочитано, раз информация о неработающем домофоне была передана курьеру. Никто не перезвонил, статус заказа не менялся, сами трубку тоже не брали ни с одного номера. Добило ваше отношение к курьерке! Заказ был оплачен онлайн, по итогу человеку ничего про это не сказали, потратили и её, и наше время на выяснение этого вопроса. Хотели вернуть заказ, опять же, звонки были проигнорированы. В самом заведении пальцы в суп макают, ещё и доставку похерили! Окончательно разочаровали👍;негативный
работает одно хамло  не советую там делать ням;спорный
